date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:37	43418/43418	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2007:45:36%20GMT	https://shop.hbhonda.com/catalog.asp	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/shop.hbhonda.com/catalog.html	(from )
00:45:37	15/15	---M--	200	added ('OK')	text/plain	date:Sat,%2013%20Apr%202019%2007:45:36%20GMT	https://shop.hbhonda.com/robots.txt		(from )
00:45:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2013%20Apr%202019%2007:45:37%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/www.googletagmanager.com/gtm.15445.delayed	(from https://shop.hbhonda.com/catalog.asp)
00:45:41	2294/2294	---M-Z	200	added ('OK')	text/css	etag:%22e5f7bdc062efd41:0%22	http://hbhonda.com/DesktopModules/Dominion/Dealer/module.css	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/hbhonda.com/DesktopModules/Dominion/Dealer/module.css	(from https://shop.hbhonda.com/catalog.asp)
00:45:41	97048/97048	---M-Z	200	added ('OK')	text/css	etag:%2273edb61220cfd41:0%22	http://hbhonda.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/hbhonda.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css	(from https://shop.hbhonda.com/catalog.asp)
00:45:41	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://shop.hbhonda.com/catalog.asp)
00:45:43	216918/216918	---M-Z	200	added ('OK')	text/css	etag:%22cf4679b1ccfd41:0%22	http://hbhonda.com/portals/hbhonda/Skins/hbhonda-Wrangler/less/theme.css	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/hbhonda.com/portals/hbhonda/Skins/hbhonda-Wrangler/less/theme.css	(from https://shop.hbhonda.com/catalog.asp)
00:45:43	1196/1196	---M-Z	200	added ('OK')	text/css	etag:%22ceba7d862efd41:0%22	http://hbhonda.com/Portals/0/Templates/Dealer/DealerHours/DealerHours.css	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/hbhonda.com/Portals/0/Templates/Dealer/DealerHours/DealerHours.css	(from https://shop.hbhonda.com/catalog.asp)
00:45:43	1775/1775	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2005%20Apr%202019%2019:51:10%20GMT	http://cdn.rlets.com/capture_static/mms/mms.js	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/cdn.rlets.com/capture_static/mms/mms.js	(from https://shop.hbhonda.com/catalog.asp)
00:45:44	53874/53874	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2013%20Apr%202019%2007:45:43%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/connect.facebook.net/en_US/fbevents.js	(from https://shop.hbhonda.com/catalog.asp)
00:45:45	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-1c1f%22	http://code.jquery.com/jquery-migrate-1.2.1.min.js	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/code.jquery.com/jquery-migrate-1.2.1.min.js	(from https://shop.hbhonda.com/catalog.asp)
00:45:45	35601/35601	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d140439b1ccfd41:0%22	http://hbhonda.com/portals/hbhonda/Skins/hbhonda-Wrangler/js/bootstrap.min.js	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/hbhonda.com/portals/hbhonda/Skins/hbhonda-Wrangler/js/bootstrap.min.js	(from https://shop.hbhonda.com/catalog.asp)
00:45:46	85779/85779	---M--	200	added ('OK')	text/css	etag:%22a4cd66d2f1c1d41:0%22	http://cdn-psndealer.dx1app.com/dealersite/ecom-responsive.css	C:/Users/caytk/Desktop/Catalog/HBHondaCatalog/cdn-psndealer.dx1app.com/dealersite/ecom-responsive.css	(from https://shop.hbhonda.com/catalog.asp)
